Lp.;Nazwa własna;Telefon;Email;Charakter usług;Kategoria obiektu;Rodzaj obiektu;Adres
33;"""DWÓR OLIWSKI""";0 - 58 554 -;info@dwor-oliwski.com.pl;stały;*****;hotel;80-328 Gdańsk, Bytowska 4
34;PAŁAC PAKOSZÓW;75 649 70 75;info@palac-pakoszow.pl;stały;*****;hotel;58-573 Piechowice, Zamkowa 3
35;RYSY;(0 18)201-18-00;hotelrysy@hotelrysy.pl;stały;*****;hotel;34-500 Zakopane, ul. Goszczyńskiego 7
36;RADISSON BLU RESORT;914 040 701;RECEPTION.SWINOUJSCIE@RADISSONBLU.COM;stały;*****;hotel;72-600 Świnoujście, Baltic Park Molo 2
37;SHERATON GRAND KRAKÓW;(0 12) 662-10-0;krakow@sheraton.com;stały;*****;hotel;31-101 Kraków, ul. Powiśle 7
38;REGENT WARSAW HOTEL;225581001;reservation@regent-warsaw.com;stały;*****;hotel;00-761 Warszawa, Belwedreska 23
39;PIRAMIDA;032/ 325-78-78;piramida@piramida-ceglinski.pl;stały;*****;hotel;43-100 Tychy, Sikorskiego 100
40;MONOPOL;717 723 777;monopol.wroclaw@hotel.com.pl;stały;*****;hotel;50-071 Wrocław, H.MODRZEJEWSKIEJ 2
41;PAŁAC SULISŁAW HOTEL & SPA;509842741;biuro@sulislaw.pl;stały;*****;hotel;49-200 Sulisław, 24
42;MONOPOL;32 782-82-82;monopol@hotel.com.pl;stały;*****;hotel;40-012 Katowice, Dworcowa 5/7
43;BRISTOL TRADITION & LUXURY;17 250 00 80;info@bristol-rzeszow.pl;stały;*****;hotel;35-064 Rzeszów, Rynek 20-23
44;COPERNICUS;(12) 424-34-00;copernicus@hotel.com.pl;stały;*****;hotel;31-002 Kraków, ul. Kanonicza 16
45;H 15 BOUTIQUE HOTEL;22 55 38 788;office@h15ab.com;stały;*****;hotel;00-680 Warszawa, Poznańska 15
46;"""REZYDENT""";0 - 58 55 - 5;rezerwacja@HotelRezydent.com.pl;stały;*****;hotel;81-704 Sopot, Plac Konstytucji III Maja 3
47;GRAND;(12) 421-72-55;hotel@grand.pl;stały;*****;hotel;31-014 Kraków, ul. Sławkowska 5/7
48;MANOR HOUSE PAŁAC ODROWĄŻÓW;48 628 70 61;chlewiska@manorhouse.pl;stały;*****;hotel;26-510 Chlewiska, Czachowskiego 56
49;HOTEL DOUBLE TREE BY HILTON;713025710;;stały;*****;hotel;50-414 Wrocław, Podwale nr 84
50;CITY PARK HOTEL & RESIDENCE;612 218 400;residence@citypark.com.pl;stały;*****;hotel;61-751 Poznań, Wyspiańskiego 26a
51;RIALTO;+48-22 58-48-7;info@hotelrialto.com.pl;stały;*****;hotel;00-670 Warszawa, Wilcza 73
52;"""SHERATON Sopot Hotel Conference Center & Spa""";0-58 767 - 10;andrea.wrba@sheraton.com;stały;*****;hotel;81-718 Sopot, Powstańców Warszawy 10
53;BLOW UP HALL5050;61-657 99 80;blowup@blowUPhall5050.com;stały;*****;hotel;61-891 Poznań, Kościuszki 42
54;"""GRAND LUBICZ-UZDROWISKO USTKA""";59/815-44-70;recepcja@grandlubicz.pl;stały;*****;hotel;76-270 Ustka, wczasowa 4
55;"""RADISSON BLU HOTEL""";0-58 325-44-44;info.gdansk@radissonblu.com;stały;*****;hotel;80-828 Gdańsk, Długi Targ 19/Powroźnicza
56;"""PAŁAC CIEKOCINKO""";58/572-25-08;hotel@palacciekocinko.pl;stały;*****;hotel;84-210 Ciekocinko, ciekocinko 9
57;SOFITEL VICTORIA;(+48 22) 657-80;sofitel@victoria.orbis.pl;stały;*****;hotel;00-065 Warszawa, Królewska 11
58;AQUARIUS SPA;94- 35 36 500;recepcja@aquariusspa.pl;stały;*****;hotel;78-100 Kołobrzeg, Kasprowicza 24
59;HOTEL MARINA CLUB;89-523-87-97;sekretariat@marinaclub.pl;stały;*****;hotel;11-036 Siła, 100
60;HOTEL BELLOTTO;22 829 64 44;hotel@hotelbellotto.pl;stały;*****;hotel;00-075 Warszawa, senatorska 13/15
61;ODYSSEY CLUBHOTEL WELLNESS & SPA;41 317 44 00;recepcja@hotelodyssey.pl;stały;*****;hotel;26-001 Dąbrowa, Dąbrowa 3
62;HOLIDAY INN KRAKÓW CITY CENTER;(0 12) 619-00-02;hirm@hik.krakow.pl;stały;*****;hotel;31-072 Kraków, ul. Wielopole 4-8
63;PLATINUM PALACE;713249900;;stały;*****;hotel;Wrocław, POWSTAŃCÓW ŚLĄSKICH 204
64;THE WESTIN WARSAW;224 508 000;warsaw@westin.com;stały;*****;hotel;00-854 Warszawa, Al. Jana Pawła ii 21
65;NIEBIESKI ART HOTEL & SPA;(0 12)297-40-00;biuro@niebieski.com.pl;stały;*****;hotel;30-114 Kraków, ul. Flisacka 3
66;BOHEMA;525 600 602;rezerwacja@hotelbohema.pl;stały;*****;hotel;85-066 Bydgoszcz, Stanisława Konarskiego 9
67;REZYDENCJA II NOSALOWY DWÓR;18 202-24-00;rezerwacja@nosalowy-dwor.eu;stały;*****;hotel;34-500 Zakopane, ul. Balzera 21 F
68;DWÓR KOŚCIUSZKO;12 614-14-41;dworkosciuszko@donimirski.com;stały;*****;hotel;31-221 Kraków, ul. Papiernicza 3
69;LITWOR;18 202-42-00;recepcja@litwor.pl;stały;*****;hotel;34-500 Zakopane, ul. Krupówki 40
70;UNICUS PALACE;12 201 01 01;recepcja@hotelunicuspalace.pl;stały;*****;hotel;31-021 Kraków, ul. Floriańska 28
71;HAVET Resort & SPA;94/ 713 60 70;gm@havethotel.pl;stały;*****;hotel;78-131 Dźwirzyno, ul. Wyzwolenia 29
72;STARY;12 384-08-08;stary@hotel.com.pl;stały;*****;hotel;31-011 Kraków, ul. Szczepańska 5
73;THE GRANARY LA SUITE HOTEL WROCŁAW CITY CENTER;713952603;granary@granaryhotel.com;stały;*****;hotel;50-057 Wrocław, MENNICZA 24
74;SHERATON WARSAW HOTEL & TOWERS;022-657-61-00;warsaw@sheraton.com;stały;*****;hotel;00-493 Warszawa, B.Prusa 2
75;HOTEL BRISTOL, WARSAW;(+48-22) 551-10;;stały;*****;hotel;00-325 Warszawa, Krakowskie Przedmieście 42/44
76;INTERCONTINENTAL WARSZAWA;-102;icwarsaw@inwarsaw.it.pl;stały;*****;hotel;00-125 Warszawa, Emilii Plater 49
77;MARRIOTT;(+48-22) 630-63;;stały;*****;hotel;00-697 Warszawa, Al.Jerozolimskie 65/79
78;MAMAISON HOTEL LE REGINA;225316000;info@leregina.com;stały;*****;hotel;00-029 Warszawa, Kościelna 12
79;CROWN PIAST HOTEL;(0 12) 636-46-6;gm@hotelpiast.pl;stały;*****;hotel;31-342 Kraków, ul. Radzikowskiego 109
80;Radisson Blu;071/ 375 00 00;;stały;*****;hotel;50-156 Wrocław, ul. Purkyniego 10
81;DIAMENT PLAZA KATOWICE;32 746-70-00;katowice@hotelediament.pl;stały;****;hotel;40-012 Katowice, Dworcowa 9
82;BINKOWSKI;413 011 211;hotel@bhotel.pl;stały;****;hotel;25-043 Kielce, Szzepaniaka 42
83;GALERY69;89-513-64-80;recepcja@hotelgalery69.pl;stały;****;hotel;11-034 Dorotowo, 38
84;BESKID;(0 18)440-40-00;hotel@hotelbeskid.pl;stały;****;hotel;33-300 Nowy Sącz, ul. Limanowskiego 1
85;DWÓR SANNA;15 871 61 53;recepcja@dworsanna.pl;stały;****;hotel;23-310 Modliborzyce, Wierzchowiska Drugie 163
86;UROCZYSKO SIEDMIU STAWÓW LUXURY HOTEL;717509107;uroczysko7stawow@uroczysko7stawow.com;stały;****;hotel;58-217 Gola Dzierżoniowska, GOLA DZIERŻONIOWSKA 21
87;QUBUS HOTEL GORZÓW WLKP.;95 735-07-35;gorzow@qubushotel.com;stały;****;hotel;66-410 Gorzów Wielkopolski, Orląt Lwowskich 3
88;NH POZNAŃ;61 624 88 00;nhpoznan@nh-hotel.com;stały;****;hotel;61-806 Poznań, sw marcin 67
89;ZIMNIK LUKSUS NATURY;+48 33 860 15 9;recepcja@zimnik.com.pl;stały;****;hotel;34-324 Lipowa, Lipowa 990
90;MODERNO;61 664 66 66;;stały;****;hotel;60-718 Poznań, kolejowa 29
91;PAŁAC CZARNY LAS;34 357-30-78;recepcja@czarnylas.com.pl;stały;****;hotel;42-289 Woźniki, Czarny Las 8
92;VERSANT DOM SPA;748117140;recepcja@hotelversant.pl;stały;****;hotel;58-200 Dzierżoniów, MICKIEWICZA 16
93;"""FALTOM""";0 - 58 671 -;faltom@hotel-faltom.com.pl;stały;****;hotel;84-230 Rumia, Grunwaldzka 7
94;NOVOTEL SZCZECIN CENTRUM;(91)480-14-00;H3367@accor-hotels.com;stały;****;hotel;70-215 Szczecin, 3-go Maja 31
95;PARK DIAMENT HOTEL;32 72-00-000;katowicepark@hoteldiament.pl;stały;****;hotel;40-042 Katowice, Wita Stwosza 37
96;MŁYN JACKA HOTEL & SPA;(33)873-40-80;biuro@hotelmj.pl;stały;****;hotel;34-100 Wadowice, Jaroszowice 234
97;PREZYDENT;(0 18)473-65-00;marketing@hotelprezydent.com;stały;****;hotel;33-380 Krynica-Zdrój, ul. Nowotarskiego 3
98;Chopin;(+48-46) 862-59;hotel@hotelchopin.pl;stały;****;hotel;96-500 Sochaczew, Traugutta 21
99;"HOTEL ""ROBERT'S PORT""";87-421-65-20;recepcja@hotel-port.pl;stały;****;hotel;11-730 Stare Sady, 4
100;BRISTOL ART & SPA SANATORIUM;41 330 30 33;info@bristolbusko.pl;stały;****;hotel;28-100 Busko-Zdrój, 1 Maja 1
101;KUDOWA;748 665 000;recepcja@hotelkudowa.pl;stały;****;hotel;57-350 Kudowa-Zdrój, BUCZKA 16
102;HOLIDAY INN ŁÓDŹ;422 082 000;info@hilodz.com;stały;****;hotel;90-456 Łódź, Piotrkowska 229/231
103;HOTEL&SOUND BOSSA NOVA;757615980;kontakt@bossanova.pl;stały;****;hotel;58-580 Szklarska Poręba, KILIŃSKIEGO 14
104;Qubus Hotel Wrocław;(071) 341-08-98;hotel@hotel-mm.com.pl;stały;****;hotel;50-103 Wrocław, Św. Marii Magdaleny 2
105;GRACJA;095 720-43-11;info@hotelgracja.pl;stały;****;hotel;66-400 Gorzów Wielkopolski, Dąbrowskiego 20 B
106;KINGA HOTEL WELLNESS;(0 18)265-03-67;recepcja@kingahotel.com;stały;****;hotel;34-436 Czorsztyn, ul. Zamkowa 6
107;REZYDENCJA;+48 32 450 25 8;recepcja@rezydencja.slask.pl;stały;****;hotel;41-940 Piekary Śląskie, stara 1
108;MOLO RESORT;(33) 432-25-00;hotel@czasnamolo.pl;stały;****;hotel;32-608 Osiek, główna 231 a
109;HOTEL 1231;566 190 910;recepcja1231@hotelesolaris.pl;stały;****;hotel;87-100 Toruń, Przedzamcze 6
110;MALINOWY DWÓR HOTEL MEDICAL SPA;757381000;recepcja@malinowydwOr.pl;stały;****;hotel;59-850 Świeradów-Zdrój, DŁUGA 10
111;SWING;(0 12)311-11-11;hotelswing@hotelswing.pl;stały;****;hotel;31-416 Kraków, ul. Dobrego Pasterza 124
112;CZARNY GROŃ HOTEL & SPA;(33) 506-51-00;recepcja@czarnygron.pl;stały;****;hotel;34-125 Sułkowice, os. praciaki 91 A
113;NAFTA KROSNO;13 436 62 12;rezerwacje@hotel.nafta.pl;stały;****;hotel;38-400 Krosno, Lwowska 21
114;"""LUBICZ""";0 - 59 814 -;biuro@hotel-lubicz.pl;stały;****;hotel;76-270 Ustka, Grunwaldzka 14
115;ILAN;817 450 347;recepcja@hotelilan.pl;stały;****;hotel;20-123 Lublin, Lubartowska 85
116;DOUBLETREE BY HILTON KRAKÓW HOTEL&CONVENTION CENTER;12 201-40-00;KRKCC_HOTEL@hilton.com;stały;****;hotel;31-572 Kraków, ul. Dąbska 5
117;RADOCZA PARK BUSINESS HOTEL;33 873-49-10;recepcja@radoczapark.pl;stały;****;hotel;34-100 Radocza, ul. Parkowa 1, Radocza
118;DADA BOUTIQUE HOME HOTEL;887 371 371;dada@dadahotel.pl;stały;****;hotel;31-062 Kraków, ul. Krakowska 30
119;MEDI-SPA BIAŁY KAMIEŃ SKI&WELLNESS RESORT;757817551;INFO@BIALYKAMIEN.COM;stały;****;hotel;59-850 Świeradów-Zdrój, LEŚNA 8A
120;DUO;(015) 87 22 880;recepcja@duojanow.pl;stały;****;hotel;23-300 Janów Lubelski, Turystyczna 10 A
121;FABRYKA WEŁNY;42 206-88-88;recepcja@fabrykawelny.pl;stały;****;hotel;95-200 Pabianice, Zamkowa 2
122;KRYNICA;18 473-71-00;recepcja@hotelkrynica.eu;stały;****;hotel;33-380 Krynica-Zdrój, Park Sportowy 3
123;CENTRUM;12 359-43-83;info@hotel-centrum.pl;stały;****;hotel;31-934 Kraków, os. Centrum E12
124;MARYSIEŃKA;508223956;;stały;****;hotel;58-306 Wałbrzych, wrocławska 134b
125;PRZYSTAŃ HOTEL & SPA;89-651-90-00;hotel@hotelprzystan.com;stały;****;hotel;10-160 Olsztyn, Żeglarska 4
126;MERCURE KRYNICA ZDRÓJ RESORT & SPA;(18) 477-75-00;recepcja@mercurekrynica.pl;stały;****;hotel;33-380 Krynica-Zdrój, ul. Leśna 1
127;MERCURE WROCŁAW CENTRUM;713232700;;stały;****;hotel;50-159 Wrocław, PL.DOMINIKAŃSKI 1
128;ANDEL'S HOTEL CRACOW;12 660-01-00;reservation@andelscracow.com;stały;****;hotel;31-154 Kraków, ul. Pawia 3
129;ART HOTEL;(071) 342 42 49;info@arthotel.wroc.pl;stały;****;hotel;50-110 Wrocław, Kiełbaśnicza 20
130;HOTEL BANIA THERMAL & SKI;18 265-41-63;sekretariat@bania.pl;stały;****;hotel;34-405 Białka Tatrzańska, ul. Środkowa 181
131;"""AURORA""";091/328-12-48;rezerwacja@hotelaurora.pl;stały;****;hotel;72-500 Międzyzdroje, Boh. Warszawy 17
132;PAŁAC ROMANTYCZNY;566 423 100;recepcja@palac-romantyczny.com;stały;****;hotel;87-148 Turzno, Toruńska 1
133;VERDE MONTANA;748 697 760;recepcja@verdemontana.pl;stały;****;hotel;57-350 Kudowa-Zdrój, 1 MAJA 25A
134;DWÓR KOMBORNIA;13 435 42 89;hotel@dworkombornia.pl;stały;****;hotel;38-420 Korczyna, Kombornia 1
135;HILTON GARDEN INN KRAKÓW;(12) 399-90-00;;stały;****;hotel;30-302 Kraków, ul. M. Konopnickiej 33
136;REGENT WARSAW HOTEL;22 558 12 34;;stały;****;hotel;00-761 Warszawa, Belwederska 23
137;PAŁAC MORTĘGI HOTEL & SPA;89-644-94-60;recepcja@palacmortegi.pl;stały;****;hotel;14-260 Mortęgi, 3
138;EUROPEJSKI BOUTIQUE HOTEL;48 340 00 21;hoteleuropejski@op.pl;stały;****;hotel;26-600 Radom, Słowackiego 11
139;SANTI;797 991 337;info@santi.net.pl;stały;****;hotel;31-043 Kraków, ul. Dominikańska 1
140;AIRPORT HOTEL OKĘCIE /CZĘŚĆ NOWA/;22 456 80 00;;stały;****;hotel;00-146 Warszawa, 17-Stycznia 24
141;COPERNICUS TORUŃ HOTEL;566 115 700;recepcja@copernicustorun.com;stały;****;hotel;87-100 Toruń, Bulwar Filadelfijski 11
142;APIS;(12) 617-65-00;info@hotelapis.pl;stały;****;hotel;31-406 Kraków, Al. 29 Listopada 137
143;BORNIT;756472503 do 04;bornit@interferie.pl;stały;****;hotel;58-580 Szklarska Poręba, Mickiewicza 21
144;OŁAWIAN;71 301 43 71;recepcja@olawianhotel.pl;stały;****;hotel;55-200 Oława, SIKORSKIEGO 6
145;"""MERIDIAN""";58/674-19-01;biuro@meridian.wla.pl;stały;****;hotel;84-131 Chałupy, kaperska 2
146;DIAMENT PLAZA;32 231-22-44;gliwice@hoteldiament.pl;stały;****;hotel;44-100 Gliwice, Zwycięstwa 30
147;JM APART HOTEL;22 278-88-88;rezerwacja@jmaparthotel.pl;stały;****;hotel;00-844 Warszawa, Grzybowska 45
148;"""MERA SPA HOTEL""";58/766-66-00;info@meraspahotel.pl;stały;****;hotel;81-731 Sopot, Bitwy pod Płowcami 59
149;"""GRAND CRU""";58 77-27-300;RECEPCJA@HOTELGRANDCRU.PL;stały;****;hotel;80-882 Gdańsk, Rycerska 11-12
150;ASTONE;767469800;hotel@hotelastone.pl;stały;****;hotel;59-300 Lubin, Kwiatowa 11
151;CRISTAL;85 742-50-61;;stały;****;hotel;15-424 Białystok, Lipowa 3/5
152;HOTEL DIAMENT ARSENAL PALACE;+48 32 60 68 48;arsenal@hotelediament.pl;stały;****;hotel;41-500 Chorzów, Paderewskiegp 35
153;DAKOTA;523 241 410;marketing@dakotahotel.eu;stały;****;hotel;86-031 Niwy, Szosa Gdańska 46
154;"""TRISTAN""";55/26-72-600;hotel@tristan.com.pl;stały;****;hotel;82-110 Kąty Rybackie, RYbacka 17
155;HOTEL PAŁAC ALEXANDRINUM;504-403-036;;stały;****;hotel;06-326 Krubki-Górki, Krubki-Górki 13A
156;EVITA HOTEL & SPA;523339804;;stały;****;hotel;86-150 Tleń, Czerska 11
157;ALPEJSKI;756457800;hotel@alpejski.pl;stały;****;hotel;58-540 Karpacz, OGRODNICZA 8
158;ZAMEK JANÓW PODLASKI;833 790 850;recepcja@zamekjanowpodlaski.pl;stały;****;hotel;21-505 Janów Podlaski, Zamkowa 1
159;GROMADA ARKA LUX;(94) 342 79 11;koszalinhotel@gromada.pl;stały;****;hotel;75-035 Koszalin, Zwycięstwa 20-24
160;"""AUBRECHT COUNTRY SPA RESORT""";59 724 14 69;rezerwacja@hotelaubrecht.pl;stały;****;hotel;77-320 Koprzywnica, Koprzywnica 4
161;TERMY MEDICAL WARMIA PARK;89-519-53-00;termymedical@warmiapark.pl;stały;****;hotel;11-034 Pluski, Pluszna 36
162;AMARYLIS;;;stały;****;hotel;62-020 Jasin, Poznańska 39
163;"""MISTRAL SPORT""";58/736-46-00;hotel@gniewino.pl;stały;****;hotel;84-250 Gniewino, Sportowa 1
164;OLIVIA MEDICAL SPA;(12)271-06-58;biuro@oliwiaspa.pl;stały;****;hotel;32-437 Skomielna Czarna, skomielna czarna 488
165;META RESORT VINE SPA;33-8178-874;metahotel@meta-hotel.pl;stały;****;hotel;43-370 Szczyrk, Skośna 4
166;ATENA;17 773 91 00;recepcja@hotel-atena.pl;stały;****;hotel;39-300 Mielec, przemysłowa 67
167;DOUBLETREE BY HILTON HOTEL & CONFERENCE WARSZAWA;22 278 00 00;resrevation.dtwarsaw@hilton.com;stały;****;hotel;04-797 Warszawa, Skalnicowa 21
168;HOTEL AMAZONKA;542 300 100;recepcja@hotelamazonka.pl;stały;****;hotel;87-720 Ciechocinek, Traugutta 5
169;"""SENATOR""";943549500;senator@hotelsenator.pl;stały;****;hotel;78-131 Dźwirzyno, Wyzwolenia 35
170;Z-HOTEL BUSINESS & SPA;227781130;recepcja@z-hotel.com;stały;****;hotel;05-402 Otwock, wczasowa 25
171;ARŁAMÓW;13 443 10 00;sekretariat@arlamow.pl;stały;****;hotel;38-700 Arłamów, Arłamów 1
172;HOTEL PIANO;77 550 33 01;biuro@pianohotel.com.pl;stały;****;hotel;45-083 Opole, Barlickiego
173;RUBINSTEIN;(12) 384-00-00;recepcja@rubinstein.pl;stały;****;hotel;31-053 Kraków, szeroka 12
174;HOTEL PLATINUM;89-642-36-00;recepcja@hotelplatinum.pl;stały;****;hotel;14-100 Ostróda, Wyszyńskiego 11A
175;SOMMER RESIDENCE HOTEL & SPA;77 887 58 88;;stały;****;hotel;46-200 Kuniów, 101a
176;"""MŁYN""";233-01-00;hotelmlyn@hotelmlyn.pl;stały;****;hotel;87-800 Włocławek, Okrzei 77
177;BEST WESTERN PLUS BRZEG CENTRUM;7744388000;gm@bestwesternbrzeg.com;stały;****;hotel;49-300 Brzeg, Wrocławska 5
178;HOTEL HOLIDAY INN BYDGOSZCZ;523 477 000;reservations@holiday.hgb.com.pl;stały;****;hotel;85-109 Bydgoszcz, Grodzka 6
179;HOTEL POLSKI POD BIAŁYM ORŁEM;12 422-11-44;hotel.polski@donimirski.com;stały;****;hotel;31-015 Kraków, ul. Pijarska 17/ul. Floriańska 42 i 44
180;HILTON GARDEN INN KRAKÓW AIRPORT;(12)340-00-00;hotel@krkairport.pl;stały;****;hotel;32-083 Balice, medweckiego 3
181;KAWALLO;+ 48 (0-24) 266;kawallo@kawallo.pl;stały;****;hotel;09-533 Słubice, Leonów 7 A
182;HOTEL OSTOYA PALACE;12 430-90-00;hotel@ostoyapalace.pl;stały;****;hotel;31-109 Kraków, ul. Piłsudskiego 24
183;PAPUGA;33 818-58-60;hotel@ papuga.pl;stały;****;hotel;43-382 Bielsko-Biała, Zapora 3
184;ZAMEK NA SKALE;748 652 000;zamek@zameknaskale.com.pl;stały;****;hotel;57-540 Lądek-Zdrój, TRZEBIESZOWICE 151
185;"""RYCERSKI""";58/535-25-37;sekretariat@zamek-gniew.pl;stały;****;hotel;83-140 Gniew, Zamkowa 3
186;BRISTOL;14 621-22-79;bristol.tn@poczta.fm;stały;****;hotel;33-100 Tarnów, ul. Krakowska 9
187;PAŁAC ŚMIŁOWICE;(0 12)385-92-04;palac.smilowice@interia.eu;stały;****;hotel;32-120 Nowe Brzesko, Śmiłowice
188;APOLLO;94 314-24-53;recepcja@hotelapollo.pl;stały;****;hotel;76-153 Darłowo, Kąpielowa 11
189;BRZOZA;(52)3810111;recepcja@hotelbrzoza.pl;stały;****;hotel;86-061 Brzoza, Bydgoska 34
190;MCC MAZURKAS CONFERENCE CENTRE & HOTEL;(+48 22) 721-47;rezerwacja@mazurkashotel.pl;stały;****;hotel;05-850 Ożarów Mazowiecki, Poznańska 177
191;BLUE DIAMOND HOTEL;177 722 666;recepcja@bluediamondhotel.pl;stały;****;hotel;36-001 Nowa Wieś, gmina Trzebownisko
192;NOVOTEL WROCŁAW CENTRUM;(071) 361-46-51;wroclaw@orbis.pl;stały;****;hotel;53-332 Wrocław, Powstańców Śląskich 7
193;OLIMPIC;033-85432-35;recepcja@hotelolympic.pl;stały;****;hotel;43-450 Ustroń, Grażyńskiego 10
194;HOTEL STARY TARTAK;89-648-22-33;recepcja@starytartak.com.pl;stały;****;hotel;14-200 Iława, Biskupska 5
195;HOTEL MASURIA;885-950-021;hotel@masuria.com.pl;stały;****;hotel;14-105 Worliny, 33
196;"""QUBUS HOTEL GDAŃSK""";58/75-22-100;gdansk@qubushotel.com;stały;****;hotel;80-748 Gdańsk, Chmielna 47/52
197;"""VILLA PARK""";544 164 100;hotel@villapark.pl;stały;****;hotel;87-720 Ciechocinek, Warzelniana 10
198;BEST WESTERN PREMIER KRAKÓW HOTEL;(0 12)420-00-05;bestwestern@krakowpremier.pl;stały;****;hotel;31-323 Kraków, ul. Opolska 14 A
199;CITY;522 500 325;city@cps.pl;stały;****;hotel;85-950 Bydgoszcz, 3 Maja 6
200;PAŁAC POLANKA;13 49 24 455;rezerwacje@PALACPOLANKA.PL;stały;****;hotel;38-400 Krosno, popiełuszki 103
201;UROCZYSKO SPA&BUSINESS;41368-11-16;rezerwacja@hotel-uroczysko.com.pl;stały;****;hotel;25-900 Cedzyna, cedzyna 44d
202;HOTEL RESTAURACJA WODNIK;525066250;recepcja@hotelrestauracjawodnik.pl;stały;****;hotel;85-358 Bydgoszcz, Nakielska 86
203;INTERFERIE MEDICAL SPA;91- 381-25-00;inmedical@.inmedical.pl;stały;****;hotel;72-600 Świnoujście, Uzdrowiskowa 15
204;QUBUS;041243-81-00;kielce@qubushotel.com;stały;****;hotel;25-505 Kielce, Składowa 2
205;"Hotel ""ZAJAZD NAPOLEOŃSKI""";0-22 815-30-68;;stały;****;hotel;04-501 Warszawa, Płowiecka 83
206;GRAND NOSALOWY DWÓR;(0 18)201-14-00;hotel@nosalowy-dwór.eu;stały;****;hotel;34-500 Zakopane, ul. Balzera 21C
